pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
Europe	Japan	chr1	1	20000	8.448863276206476e-05	19866	1994	23600808	70802424
Europe	Japan	chr1	20001	40000	1.8522222963111144e-06	19996	44	23755248	71265744
Europe	Japan	chr1	40001	60000	3.0832747005685355e-05	19984	732	23740992	71222976
Europe	Japan	chr1	60001	80000	7.491603582808795e-05	19955	1776	23706540	71119620
Europe	Japan	chr1	80001	100000	3.710196547662113e-06	19965	88	23718420	71155260
Europe	Japan	chr1	100001	120000	0.0006277375979357	19772	14745	23489114	70467430
Europe	Japan	chr1	120001	140000	0.0004786684752343	19801	11260	23523588	70570764
Europe	Japan	chr1	140001	160000	3.714289428575143e-06	19943	88	23692284	71076852
Europe	Japan	chr1	160001	180000	6.927990467085117e-05	19926	1640	23672088	71016264
Europe	Japan	chr1	180001	200000	0.0002687657474641	19894	6352	23633964	70902324
Europe	Japan	chr1	200001	220000	0.0017377654880777	19627	40519	23316725	69950779
Europe	Japan	chr1	220001	240000	0.0015565955168401	19620	36282	23308560	69925680
Europe	Japan	chr1	240001	260000	0.000597609595544	19849	14092	23580612	70741836
Europe	Japan	chr1	260001	280000	0.0010688411277213	19701	25016	23404788	70214364
Europe	Japan	chr1	280001	300000	0.0013884134928197	19654	32418	23348952	70046856
Europe	Japan	chr1	300001	320000	0.000603730299226	19737	14156	23447556	70342668
Europe	Japan	chr1	320001	340000	0.0013326867265153	19704	31196	23408352	70225056
Europe	Japan	chr1	340001	360000	0.0025584812202705	19683	59826	23383404	70150212
Europe	Japan	chr1	360001	380000	0.0029193086189235	19475	67542	23136300	69408900
Europe	Japan	chr1	380001	400000	0.0054357397134483	19272	124452	22895136	68685408
Europe	Japan	chr1	400001	420000	0.0031498777198833	19477	72884	23138676	69416028
Europe	Japan	chr1	420001	440000	0.0024322676595757	19291	55742	22917708	68753124
Europe	Japan	chr1	440001	460000	0.007750689933925	19120	176053	22714494	68143746
Europe	Japan	chr1	460001	480000	0.0012775524412479	19514	29617	23182610	69547918
Europe	Japan	chr1	480001	500000	0.0024184600438542	19658	56480	23353704	70061112
Europe	Japan	chr1	500001	520000	0.005024409369271	19447	116079	23103014	69309130
Europe	Japan	chr1	520001	540000	0.0041207947212636	19618	96040	23306184	69918552
Europe	Japan	chr1	540001	560000	0.0049497800267051	19337	113708	22972334	68917090
Europe	Japan	chr1	560001	580000	0.0062193347187036	19410	143412	23059058	69177262
Europe	Japan	chr1	580001	600000	0.0030784971553659	19638	71821	23329890	69989886
Europe	Japan	chr1	600001	620000	0.0108187290417439	19038	244687	22616982	67851594
Europe	Japan	chr1	620001	640000	0.0048081406191719	19065	108900	22649088	67947792
Europe	Japan	chr1	640001	660000	0.0036696828132361	19289	84092	22915332	68745996
Europe	Japan	chr1	660001	680000	0.0050412483237465	19278	115456	22902264	68706792
Europe	Japan	chr1	680001	700000	0.0047755748572032	19356	109814	22994928	68984784
Europe	Japan	chr1	700001	720000	0.0049736632868419	19433	114824	23086404	69259212
Europe	Japan	chr1	720001	740000	0.0095301341445863	18997	215075	22567888	67705856
Europe	Japan	chr1	740001	760000	0.0091586483097753	19261	209567	22881870	68646402
Europe	Japan	chr1	760001	780000	0.0016026344320728	19756	37614	23470106	70410406
Europe	Japan	chr1	780001	800000	0.0035176495686599	18971	79278	22537208	67612984
Europe	Japan	chr1	800001	820000	0.0043350686111969	19208	98922	22819016	68457400
Europe	Japan	chr1	820001	840000	0.0025289817633813	19600	58886	23284470	69854730
Europe	Japan	chr1	840001	860000	0.0008138799906722	19752	19098	23465376	70396128
Europe	Japan	chr1	860001	880000	0.0016942542107326	19571	39392	23250348	69751044
Europe	Japan	chr1	880001	900000	0.0022663699460953	19808	53332	23531904	70595712
Europe	Japan	chr1	900001	920000	0.0037481103552532	19600	87274	23284800	69854400
Europe	Japan	chr1	920001	940000	0.0046737227873699	19391	107666	23036454	69109578
Europe	Japan	chr1	940001	960000	0.0038258507957296	19587	89025	23269334	69808090
Europe	Japan	chr1	960001	980000	0.0056420396734532	19238	128947	22854678	68564298
Europe	Japan	chr1	980001	1000000	0.0065672077543949	19052	148640	22633668	67901436
Europe	Japan	chr1	1000001	1020000	0.0069059704536393	19556	160443	23232506	69697606
Europe	Japan	chr1	1020001	1040000	0.0046874604922098	19708	109748	23413104	70239312
Europe	Japan	chr1	1040001	1060000	0.0055435844895959	19393	127718	23038884	69116652
Europe	Japan	chr1	1060001	1080000	0.0048684193131722	19484	112689	23146938	69441030
Europe	Japan	chr1	1080001	1100000	0.0073359257981835	19012	165689	22585970	67759054
Europe	Japan	chr1	1100001	1120000	0.0017624840071703	19290	40390	22916520	68749560
Europe	Japan	chr1	1120001	1140000	0.0043703738617969	19323	100325	22955702	68867194
Europe	Japan	chr1	1140001	1160000	0.0035666900362605	19652	83270	23346576	70039728
Europe	Japan	chr1	1160001	1180000	0.0031216460346852	19689	73016	23390224	70171904
Europe	Japan	chr1	1180001	1200000	0.0034649513061271	19594	80656	23277672	69833016
Europe	Japan	chr1	1200001	1220000	0.002558731251913	19712	59920	23417856	70253568
Europe	Japan	chr1	1220001	1240000	0.0044205278328817	19463	102209	23121447	69366729
Europe	Japan	chr1	1240001	1260000	0.0040896022896255	19529	94880	23200300	69601508
Europe	Japan	chr1	1260001	1280000	0.0026572675083746	19645	62016	23338260	70014780
Europe	Japan	chr1	1280001	1300000	0.0010750761665581	19676	25130	23375088	70125264
Europe	Japan	chr1	1300001	1320000	0.003740285730682	18951	84208	22513788	67541364
Europe	Japan	chr1	1320001	1340000	0.0021241289128656	19497	49200	23162436	69487308
Europe	Japan	chr1	1340001	1360000	0.0020757212915093	19255	47482	22874940	68624820
Europe	Japan	chr1	1360001	1380000	0.0023248031014922	19699	54406	23402412	70207236
Europe	Japan	chr1	1380001	1400000	0.0025848898679784	19478	59814	23139864	69419592
Europe	Japan	chr1	1400001	1420000	0.0047805991611532	19130	108646	22726440	68179320
Europe	Japan	chr1	1420001	1440000	0.002748649392781	19591	63972	23273976	69822456
Europe	Japan	chr1	1440001	1460000	0.0023605899784786	19722	55308	23429736	70289208
Europe	Japan	chr1	1460001	1480000	0.0012521856767485	19672	29264	23370336	70111008
Europe	Japan	chr1	1480001	1500000	0.003363731635557	19420	77604	23070806	69213034
Europe	Japan	chr1	1500001	1520000	0.0054474439705504	19374	125378	23015932	69049316
Europe	Japan	chr1	1520001	1540000	0.0029189090655533	19653	68150	23347764	70043292
Europe	Japan	chr1	1540001	1560000	0.0048018974290662	19267	109911	22889077	68667707
Europe	Japan	chr1	1560001	1580000	0.0046299059741619	19433	106885	23085782	69259834
Europe	Japan	chr1	1580001	1600000	0.0062046188106285	19179	141358	22782705	68355903
Europe	Japan	chr1	1600001	1620000	0.0041516562730242	19445	95906	23100660	69301980
Europe	Japan	chr1	1620001	1640000	0.0073137644705373	18954	164685	22517132	67552276
Europe	Japan	chr1	1640001	1660000	0.0054432960455564	19377	125304	23019876	69059628
Europe	Japan	chr1	1660001	1680000	0.0143074022777133	18815	319800	22352066	67056814
Europe	Japan	chr1	1680001	1700000	0.0021958190399822	19437	50704	23091156	69273468
Europe	Japan	chr1	1700001	1720000	0.0057928795180263	19414	133606	23063832	69191496
Europe	Japan	chr1	1720001	1740000	0.0023093454251584	19661	53940	23357268	70071804
Europe	Japan	chr1	1740001	1760000	0.004347211633879	19179	99049	22784490	68354118
Europe	Japan	chr1	1760001	1780000	0.0038003731891764	19470	87904	23130360	69391080
Europe	Japan	chr1	1780001	1800000	0.0036483314623941	19598	84942	23282424	69847272
Europe	Japan	chr1	1800001	1820000	0.004818573445244	19310	110539	22940192	68820928
Europe	Japan	chr1	1820001	1840000	0.0037498014697052	19122	85184	22716936	68150808
Europe	Japan	chr1	1840001	1860000	0.0092196732515362	19017	208288	22591690	67777094
Europe	Japan	chr1	1860001	1880000	0.0035780031670724	19468	82752	23127984	69383952
Europe	Japan	chr1	1880001	1900000	0.0022043027017898	19699	51586	23402412	70207236
Europe	Japan	chr1	1900001	1920000	0.0040312223410612	19348	92659	22985336	68956360
Europe	Japan	chr1	1920001	1940000	0.0033557550261336	19307	76970	22936716	68810148
Europe	Japan	chr1	1940001	1960000	0.0024691640778305	19479	57139	23141030	69423178
Europe	Japan	chr1	1960001	1980000	0.0070943333728467	18988	160032	22557722	67673254
Europe	Japan	chr1	1980001	2000000	0.005789902707051	19203	132086	22813164	68439492
Europe	Japan	chr1	2000001	2020000	0.0031587023525387	19599	73546	23283612	69850836
Europe	Japan	chr1	2020001	2040000	0.0024990799020725	19715	58532	23421420	70264260
Europe	Japan	chr1	2040001	2060000	0.0025212395537856	19836	59413	23564996	70695676
Europe	Japan	chr1	2060001	2080000	0.0044392423894149	19416	102396	23066098	69198734
Europe	Japan	chr1	2080001	2100000	0.0024506789497364	19629	57148	23319252	69957756
Europe	Japan	chr1	2100001	2120000	0.0119541507575689	18874	268035	22421919	67267329
Europe	Japan	chr1	2120001	2140000	0.0124426122431254	19307	285382	22935859	68811005
Europe	Japan	chr1	2140001	2160000	0.0034009088063142	19166	77436	22769208	68307624
Europe	Japan	chr1	2160001	2180000	0.0049798722216035	19592	115908	23275296	69825888
Europe	Japan	chr1	2180001	2200000	0.007051431773852	19634	164476	23325192	69975576
Europe	Japan	chr1	2200001	2220000	0.0078726865779823	19278	180302	22902220	68706836
Europe	Japan	chr1	2220001	2240000	0.0027086960974225	19497	62740	23162436	69487308
Europe	Japan	chr1	2240001	2260000	0.001183548572721	19783	27816	23502204	70506612
Europe	Japan	chr1	2260001	2280000	0.0025583841697002	19512	59304	23180256	69540768
Europe	Japan	chr1	2280001	2300000	0.0031675854934371	19507	73406	23174118	69523146
Europe	Japan	chr1	2300001	2320000	0.0042278399698479	19582	98354	23263416	69790248
Europe	Japan	chr1	2320001	2340000	0.0096736331039366	19171	220318	22775104	68325488
Europe	Japan	chr1	2340001	2360000	0.004625859180525	19458	106931	23115922	69348494
Europe	Japan	chr1	2360001	2380000	0.0070659595138388	18895	158607	22446633	67342407
Europe	Japan	chr1	2380001	2400000	0.0065119627275352	19305	149333	22932103	68805257
Europe	Japan	chr1	2400001	2420000	0.0002705370333914	19857	6382	23590116	70770348
Europe	Japan	chr1	2420001	2440000	0.0033294918791101	19388	76688	23032944	69098832
Europe	Japan	chr1	2440001	2460000	0.0049750773962135	19254	113796	22873212	68621796
Europe	Japan	chr1	2460001	2480000	0.0027899991666258	19595	64948	23278860	69836580
